LAB06 RUNTIME SMOKE TEST
Target: http://127.0.0.1:5006 only

PASS | Reset fixed local database | HTTP 200
PASS | Healthcheck | HTTP 200
PASS | Home | HTTP 200
PASS | Security headers | CSP/nosniff/frame policy
PASS | Plain login issues cookies | HTTP 302
PASS | Plain role=user denied | HTTP 403
PASS | Plain role=admin local demo allowed | HTTP 200
PASS | Base64 login issues cookie | HTTP 302
PASS | Base64 original denied | HTTP 403
PASS | Base64 modified local demo allowed | HTTP 200
PASS | Signed login issues cookie | HTTP 302
PASS | Signed valid admin allowed | HTTP 200
PASS | Signed tamper rejected | HTTP 400
PASS | Encrypted read-only demo | HTTP 200
PASS | Student server session created | HTTP 302
PASS | Student database role denied | HTTP 403
PASS | Session rotation | HTTP 302
PASS | Old session rejected | HTTP 401
PASS | Logout invalidates server session | HTTP 200
PASS | Admin database role allowed | HTTP 200

Result: 20/20 checks passed
SMOKE_TEST_PASSED
